 ;Participant type;AOTMuseum1Duration;AOTPrepDuration;beleifR;DemographicEducationType;DemographicGender;DemographicGrade;DemographicIdentity;DemographicPolitics;DemographicReligous;DemographicsPrepDuration;LQAOTMuseum1OpenBeleifsConflict;LQAOTMuseum1OpenBeleifsImportant;LQAOTMuseum1OpenBeliefTest;LQAOTMuseum1OpenCategorizePeople;LQAOTMuseum1OpenConfuse;LQAOTMuseum1OpenConsider;LQAOTMuseum1OpenDifferentContext;LQAOTMuseum1OpenHateBeliefs;LQAOTMuseum1OpenOneWay;LQAOTMuseum1OpenOthers;LQAOTMuseum1OpenReligiousLeaders;LQAOTMuseum1OpenValuesMore;LQAOTMuseum1OpenValuesPossible;LQAOTPrepOpenBeleifsConflict;LQAOTPrepOpenBeleifsImportant;LQAOTPrepOpenBeliefTest;LQAOTPrepOpenCategorizePeople;LQAOTPrepOpenConfuse;LQAOTPrepOpenConsider;LQAOTPrepOpenDifferentContext;LQAOTPrepOpenHateBeliefs;LQAOTPrepOpenOneWay;LQAOTPrepOpenOthers;LQAOTPrepOpenReligiousLeaders;LQAOTPrepOpenValuesMore;LQAOTPrepOpenValuesPossible;LQRHMSMuseum1HistDifferentiate;LQRHMSMuseum1HistIdentity;LQRHMSMuseum1HistPatrioticValue;LQRHMSMuseum1HistPersonalKnowledge;LQRHMSMuseum1HistUnderstandNews;LQRHMSMuseum1HistUnderstandValues;LQRHMSMuseum1HistUnderstandWorld;LQRHMSMuseum1HistUnderstandWorldNeg;LQRHMSPrepHistDifferentiate;LQRHMSPrepHistIdentity;LQRHMSPrepHistPatrioticValue;LQRHMSPrepHistPersonalKnowledge;LQRHMSPrepHistUnderstandNews;LQRHMSPrepHistUnderstandValues;LQRHMSPrepHistUnderstandWorld;LQRHMSPrepHistUnderstandWorldNeg;RHMSMuseum1Duration;RHMSPrepDuration
NR11108;;;0.02M;;GJ;F;11;J;R;M;0.02M;;;;;;;;;;;;;;2;6;5;2;4;6;5;2;2;6;1;6;4;;;;;;;;;6;5;5;6;4;1;6;2;;0.01M
NR111300;;0.01M;0.08M;;GJ;M;11;J;VR;S;0.09M;6;6;1;1;1;6;6;1;6;6;1;5;1;6;6;1;1;1;6;6;1;1;6;1;6;1;6;2;1;1;3;1;3;3;6;3;1;2;5;1;4;3;0.01M;0.82M
NR111352;;0.03M;0.87M;;GJ;M;11;J;R;S;0.10M;4;5;4;2;2;5;5;5;2;3;1;5;3;3;1;6;1;1;5;5;5;1;2;1;2;4;4;5;6;4;3;5;5;3;6;6;6;5;3;3;4;2;0.08M;0.08M
NR112800;;0.10M;0.14M;;GJ;M;11;J;R;S;0.02M;4;3;4;2;1;6;5;5;2;5;1;5;4;5;2;2;3;1;6;5;4;2;5;2;4;4;6;4;5;5;4;4;5;2;6;6;6;5;3;2;5;1;0.01M;0.03M
NR115421;;0.01M;0.02M;;GJ;F;11;J;R;S;0.03M;4;4;4;3;3;6;4;3;3;5;4;4;4;5;5;5;3;3;6;4;2;4;2;3;6;5;4;5;5;4;5;4;5;5;2;2;2;2;2;1;3;4;0.01M;0.03M
NR115934;;;0.17M;;GJ;M;11;J;R;S;0.17M;;;;;;;;;;;;;;2;2;6;4;1;6;6;2;1;5;4;2;6;;;;;;;;;5;5;5;4;5;3;5;1;;0.08M
NR116510;;0.02M;0.03M;;GJ;F;11;J;VR;M;0.01M;6;6;1;3;3;4;4;6;3;5;6;4;5;6;6;1;5;4;2;6;6;3;5;6;5;2;5;6;6;6;6;5;5;2;5;5;6;5;6;4;6;3;0.02M;0.02M
NR121823;;0.01M;0.02M;;GJ;F;11;J;R;S;0.03M;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;2;2;3;5;4;3;3;5;4;4;3;4;4;4;4;4;4;4;4;5;5;4;5;5;4;4;2;0.03M;0.02M
NR125123;;0.01M;0.02M;;GJ;F;11;J;R;M;0.02M;5;4;5;5;4;4;4;4;3;5;4;4;5;4;5;4;4;3;4;5;4;4;5;4;5;3;5;4;5;5;5;5;5;2;6;5;5;6;4;4;6;2;0.03M;0.04M
NR12581;;0.01M;0.04M;;GJ;M;11;J;DK;S;0.37M;4;2;5;4;3;6;4;2;2;5;3;4;5;4;2;5;3;;6;3;1;2;5;1;3;5;5;5;4;4;5;3;5;4;4;5;5;4;5;3;5;2;0.01M;0.03M
NR12604;;0.02M;0.02M;;GJ;M;11;J;C;S;0.05M;3;4;;4;3;4;5;5;3;4;4;;5;3;3;3;2;2;5;3;2;3;5;1;4;4;5;5;5;5;4;4;5;2;6;4;5;5;4;2;5;3;0.01M;0.01M
NR126116;;0.02M;0.09M;;GJ;F;11;J;R;M;0.02M;5;6;2;5;1;6;6;1;5;6;3;5;5;6;6;3;5;1;6;6;2;1;6;5;2;5;6;5;6;5;6;4;6;1;5;4;4;5;6;1;6;2;0.02M;0.03M
NR128556;;0.01M;0.01M;;GJ;F;11;J;R;S;0.01M;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;2;4;4;4;2;5;3;5;4;3;3;3;3;3;3;3;3;5;5;5;5;4;3;6;3;0.02M;0.02M
NR131128;;0.03M;0.02M;;GJ;F;11;C;R;S;0.02M;1;2;5;4;3;6;5;4;2;4;1;2;6;4;5;2;4;1;3;4;6;1;2;1;4;1;;;;;;;;;5;6;4;5;5;2;6;2;;0.03M
NR132066;;;0.04M;;GJ;M;11;J;R;S;0.83M;;;;;;;;;;;;;;6;6;5;6;5;6;6;6;5;1;6;6;6;;;;;;;;;5;6;6;5;4;4;5;5;;0.03M
NR133037;;0.02M;0.03M;;GJ;F;11;J;R;S;0.03M;6;5;3;5;2;6;4;5;1;6;5;4;6;6;5;3;3;1;5;3;5;1;5;3;6;4;;;;;;;;;3;6;6;6;6;3;6;1;;0.04M
NR133426;;0.02M;0.02M;;GJ;F;11;J;R;M;0.07M;6;6;1;1;1;6;6;1;1;6;4;6;6;6;6;1;1;2;6;6;1;1;4;5;6;6;;;;;;;;;2;4;2;5;1;2;6;6;;0.03M
NR13449;;0.02M;0.02M;;GJ;F;11;J;R;M;0.02M;4;5;4;2;2;6;6;1;2;5;1;4;6;5;4;4;2;2;6;6;1;2;5;4;5;6;;;;;;;;;5;5;6;5;4;4;6;3;;0.01M
NR134627;;0.02M;0.01M;;GJ;M;11;J;DK;S;0.06M;5;4;2;2;1;4;6;1;1;5;2;6;4;6;3;1;2;2;6;5;1;1;4;1;6;3;;;;;;;;;5;4;4;4;2;5;3;2;;0.03M
NR134793;;0.02M;0.01M;;GJ;M;11;J;R;M;0.08M;5;6;3;5;3;2;5;5;3;3;5;5;3;4;5;4;5;3;3;4;5;2;3;4;4;3;;;;;;;;;5;5;6;6;4;5;5;3;;0.02M
NR141849;;;0.01M;;GJ;M;11;J;R;S;0.01M;;;;;;;;;;;;;;3;4;4;2;2;6;5;4;1;6;4;4;6;;;;;;;;;4;4;5;4;5;4;5;2;;0.04M
NR144520;;0.14M;0.03M;;GJ;M;11;J;VR;S;0.08M;5;5;6;1;2;6;5;5;2;5;2;2;6;4;2;5;2;2;6;5;5;2;5;2;4;6;;;;;;;;;6;5;5;5;6;2;6;1;;0.04M
NR146451;;0.04M;0.06M;;GJ;F;11;J;R;M;0.06M;6;5;2;4;1;5;5;1;2;6;1;6;3;6;6;6;5;1;6;6;3;5;6;2;6;6;;;;;;;;;6;5;6;6;6;;6;5;;0.07M
NR146930;;0.04M;0.02M;;GJ;F;11;;R;S;0.08M;5;4;1;1;1;6;5;1;1;6;2;4;2;;5;3;1;2;5;5;1;3;5;2;5;2;;;;;;;;;2;3;4;2;1;1;1;6;;0.01M
NR147897;;0.01M;0.01M;;GJ;F;11;J;VR;M;0.01M;6;6;5;1;1;6;5;1;1;4;5;6;6;6;6;6;1;1;6;6;1;6;1;6;6;6;;;;;;;;;1;6;6;5;1;1;6;6;;0.06M
PH111172;;0.16M;0.02M;CRealisticPro;GJ;F;10;J;L;S;0.02M;4;6;2;3;3;4;4;6;4;6;1;5;4;1;6;5;4;2;6;4;6;3;6;1;5;1;1;3;2;1;4;3;2;2;2;2;4;2;1;1;2;2;0.02M;0.04M
PH112020;;0.02M;0.04M;EReligousNeg;GJ;F;10;J;R;S;0.01M;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;2;4;3;6;4;4;4;4;3;4;4;4;4;4;4;4;4;3;4;4;4;3;2;3;4;0.05M;0.04M
PH112113;;0.04M;0.01M;CRealisticPro;GJ;M;10;J;R;S;0.64M;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;;2;;;;3;1;;1;1;3;1;1;1;1;1;1;4;1;;5;1;;;1;;;0.07M;0.31M
PH112469;;0.03M;0.02M;FRealisticNeg;GJ;M;10;J;DK;M;0.01M;3;4;4;4;3;5;5;4;1;4;3;4;4;3;5;3;5;1;6;6;2;2;4;2;6;2;5;4;4;4;5;2;5;3;4;2;4;4;5;1;6;2;0.02M;0.02M
PH112908;;0.02M;0.01M;ANatPridePro;GJ;O;10;J;DK;S;0.03M;2;2;5;1;1;6;5;2;1;6;6;3;6;4;2;6;1;;6;5;1;2;6;1;4;5;;;;;;;;;4;5;6;5;3;3;5;2;;0.01M
PH112935;;0.02M;0.04M;CRealisticPro;GJ;F;10;J;L;S;0.01M;5;6;5;2;5;5;6;4;4;6;1;3;5;6;6;4;2;4;5;1;4;1;6;4;5;5;4;2;2;3;4;1;4;4;5;2;4;4;4;2;6;2;0.06M;0.03M
PH113257;;0.09M;0.02M;EReligousNeg;GJ;M;10;J;VR;M;0.01M;5;2;5;1;4;5;6;5;;5;6;6;5;6;6;5;6;1;6;6;6;1;6;6;6;1;6;5;5;5;6;5;5;3;4;4;4;4;4;4;1;6;0.02M;0.03M
PH113622;;0.02M;0.04M;FRealisticNeg;GJ;F;10;J;R;S;0.03M;1;2;2;1;1;5;6;2;1;5;1;3;5;2;2;4;2;2;5;5;3;1;6;1;4;4;6;5;5;6;4;4;5;2;4;4;4;3;2;4;2;6;0.02M;0.01M
PH114060;;0.01M;0.04M;FRealisticNeg;GJ;F;10;J;DK;S;0.06M;4;4;1;1;2;1;6;1;1;6;2;2;6;6;3;2;1;3;4;6;1;1;6;1;3;;;;;;;;;;4;5;5;5;4;4;6;3;0.58M;0.07M
PH115272;;0.02M;0.03M;FRealisticNeg;GJ;F;10;J;C;S;0.89M;4;6;2;2;3;6;6;5;4;6;1;3;4;4;6;4;2;2;6;4;2;4;6;3;4;6;4;3;2;3;4;1;4;4;3;3;2;2;2;2;2;3;0.02M;0.16M
PH115643;;0.02M;0.03M;CRealisticPro;GJ;F;10;J;DK;S;0.13M;4;4;4;2;2;5;6;2;1;5;2;3;6;4;2;4;1;2;6;6;1;1;5;2;5;6;;;;;;;;;4;2;3;5;2;3;3;5;1.00M;0.02M
PH115712;;0.01M;0.06M;ANatPridePro;GJ;F;10;J;C;M;0.12M;3;;4;4;4;4;4;3;1;;3;5;3;6;6;2;2;3;6;6;2;2;5;4;5;5;6;5;4;5;4;2;4;4;5;5;5;4;2;1;4;4;0.02M;0.03M
PH121103;;0.02M;0.02M;FRealisticNeg;GJ;F;10;J;DK;S;0.08M;4;6;4;6;2;4;6;6;5;1;1;4;4;5;6;4;5;3;5;6;5;3;1;1;5;3;4;5;5;4;2;4;4;3;3;4;5;5;3;4;3;5;0.02M;0.03M
PH121881;;0.01M;0.03M;CRealisticPro;GJ;F;10;J;C;M;0.04M;5;5;3;4;2;5;5;4;4;5;2;3;5;5;6;2;4;2;5;5;4;5;5;2;5;5;4;5;5;5;5;3;5;2;5;5;5;6;3;2;5;2;0.02M;0.02M
PH12201;;0.01M;0.04M;FRealisticNeg;GJ;F;10;J;C;S;0.84M;4;4;4;3;3;5;5;3;3;6;1;5;5;4;6;3;5;2;5;6;5;2;5;1;4;4;2;2;2;1;1;2;3;;4;2;2;4;1;1;1;2;0.02M;0.02M
PH123120;;0.02M;0.01M;FRealisticNeg;;M;10;J;R;M;0.44M;3;4;4;4;1;5;4;4;2;5;1;3;5;4;3;4;4;2;5;4;4;2;4;1;3;5;6;5;5;4;4;3;4;2;5;4;6;4;4;3;4;2;0.02M;0.01M
PH123152;;0.02M;0.07M;CRealisticPro;;M;10;J;C;S;0.06M;4;5;4;3;3;6;5;4;3;5;2;5;4;4;5;3;4;1;4;4;2;2;5;1;5;4;5;3;5;5;5;2;5;3;6;5;5;4;4;3;6;3;0.01M;0.02M
PH123633;;0.01M;0.02M;FRealisticNeg;GJ;F;10;J;DK;S;0.03M;3;4;5;3;2;6;5;1;3;6;2;2;5;4;5;4;3;1;5;6;2;2;6;1;4;5;3;6;5;4;4;2;5;2;3;4;4;2;3;2;5;2;0.01M;0.01M
PH123892;;0.01M;0.02M;;GJ;F;10;J;L;S;0.02M;5;5;5;3;5;6;5;3;5;6;4;5;4;6;5;5;2;4;6;5;3;5;5;4;5;5;6;6;6;5;5;5;5;4;6;6;6;6;5;5;5;5;0.02M;0.02M
PH124671;;0.01M;0.01M;ANatPridePro;GJ;F;10;J;L;S;0.03M;1;4;5;1;2;5;6;1;2;6;1;4;6;2;4;6;1;1;6;5;1;4;6;1;1;6;2;4;4;3;5;3;5;1;2;5;5;4;2;2;4;3;0.01M;0.01M
PH124901;;0.04M;0.07M;DExtremistNeg;GJ;M;10;DK;DK;M;0.03M;1;1;5;3;3;6;6;1;1;6;1;2;6;3;3;4;4;2;6;5;1;2;6;2;4;6;2;4;4;4;2;1;2;5;1;2;4;2;1;1;1;5;0.06M;0.03M
PH124989;;0.01M;0.01M;CRealisticPro;GJ;F;10;C;C;S;0.03M;3;3;3;3;4;3;4;3;3;3;3;4;4;2;4;3;3;2;4;2;2;2;2;2;4;2;3;4;4;3;3;2;4;4;2;2;5;3;3;1;4;3;0.01M;0.01M
PH125433;;;0.02M;BReligousPro;GJ;F;10;J;VR;M;0.13M;;;;;;;;;;;;;;6;6;3;6;4;4;5;6;3;6;4;5;1;;;;;;;;;3;4;5;6;5;6;6;4;;0.03M
PH126033;;0.01M;0.02M;FRealisticNeg;GJ;M;10;J;DK;S;0.59M;5;3;4;3;1;5;6;1;3;6;1;3;5;;;;4;2;4;6;1;2;6;;;4;5;3;2;3;3;2;4;4;5;3;2;3;5;1;5;;0.02M;0.02M
PH231219;;0.01M;0.11M;CRealisticPro;GJ;F;10;J;DK;S;1.10M;3;4;6;3;3;6;4;1;2;5;5;3;6;3;4;6;6;1;6;5;1;2;5;2;4;6;;;;;;;;;6;6;5;5;4;5;6;4;;0.02M
PH231599;;;;;GJ;M;10;J;R;M;0.03M;;;;;;;;;;;;;;;4;4;3;2;6;;;5;;;5;4;;;;;;;;;6;4;5;4;5;2;6;4;;0.12M
PH231637;;;0.01M;FRealisticNeg;GJ;M;10;J;DK;M;0.04M;;;;;;;;;;;;;;5;6;4;1;1;4;6;1;1;6;6;4;5;;;;;;;;;5;4;2;5;1;1;4;3;;0.01M
PH231979;;0.01M;0.01M;FRealisticNeg;GJ;M;10;J;R;S;0.04M;3;6;6;4;1;4;6;4;2;5;5;2;2;5;6;5;5;1;5;6;2;1;5;6;3;4;;;;;;;;;5;6;6;6;5;3;6;6;;0.02M
PH232228;;0.02M;0.03M;CRealisticPro;GJ;F;10;J;R;M;0.15M;6;6;6;4;4;6;5;6;5;6;5;6;6;6;6;5;5;3;6;6;5;4;6;5;4;4;;;;;;;;;5;6;6;5;5;4;6;5;;0.02M
PH23272;;0.08M;0.50M;ANatPridePro;GJ;M;10;J;DK;S;0.05M;1;1;6;1;6;6;2;6;2;4;1;3;6;3;6;1;1;6;1;1;6;6;1;1;4;1;;;;;;;;;6;1;1;1;1;1;1;1;;0.02M
PH232819;;0.03M;0.02M;FRealisticNeg;GJ;M;10;J;C;S;0.03M;4;1;6;4;1;4;;4;1;5;1;4;5;2;2;6;5;1;6;5;4;1;4;1;6;6;;;;;;;;;6;4;6;5;3;4;5;1;;0.01M
PH233877;;0.03M;0.02M;CRealisticPro;GJ;F;10;J;DK;M;0.15M;4;5;5;3;2;6;6;2;3;6;2;4;5;4;5;5;2;1;6;6;2;2;6;3;3;4;;;;;;;;;4;2;5;4;6;2;5;2;;0.03M
PH235355;;0.02M;0.06M;CRealisticPro;GJ;F;10;J;DK;S;0.02M;5;6;4;5;2;5;5;5;2;2;1;4;4;6;6;3;4;2;3;5;2;2;2;3;4;2;;;;;;;;;6;4;5;5;4;4;5;5;;0.03M
PH235809;;;0.34M;CRealisticPro;GJ;F;10;J;DK;M;0.77M;;;;;;;;;;;;;;5;4;4;4;4;5;4;2;5;5;4;5;5;;;;;;;;;4;5;5;4;;4;5;3;;0.18M
PH235830;;0.45M;0.01M;ANatPridePro;GJ;F;10;J;DK;S;0.74M;4;3;4;;2;;;;3;;1;5;;5;5;2;3;4;6;4;2;3;6;1;4;4;;;;;;;;;4;4;4;3;2;3;2;3;;0.03M
PH236328;;0.01M;0.01M;EReligousNeg;GJ;M;10;J;DK;S;0.15M;4;4;3;3;1;3;4;5;2;6;1;3;4;2;3;6;1;1;4;4;2;2;5;1;5;6;;;;;;;;;2;3;1;1;3;3;4;5;;0.02M
PH236659;;0.01M;0.02M;BReligousPro;GJ;F;10;J;R;M;0.05M;6;6;1;3;5;5;5;1;2;6;5;4;2;5;5;6;2;3;6;4;4;3;6;4;5;6;;;;;;;;;6;4;5;4;5;3;5;6;;0.02M
PH241681;;0.02M;0.07M;EReligousNeg;GJ;M;10;J;DK;S;0.02M;5;6;2;1;2;1;6;1;3;6;4;3;2;6;5;1;2;2;3;4;2;1;6;1;2;2;;;;;;;;;2;5;5;2;1;3;5;1;;0.06M
PH243071;;0.13M;0.02M;ANatPridePro;GJ;M;10;J;C;S;0.40M;4;5;4;4;2;6;4;2;1;5;2;5;4;5;2;5;5;2;6;5;4;5;4;2;4;5;;;;;;;;;2;4;2;3;5;3;6;2;;0.05M
PH243072;;0.01M;0.03M;ANatPridePro;GJ;F;10;J;C;M;0.04M;4;1;3;2;1;4;3;2;1;5;1;4;4;5;6;2;2;1;5;6;2;1;5;1;6;2;;;;;;;;;3;3;4;3;4;3;5;2;;0.02M
PH24344;;0.02M;0.09M;FRealisticNeg;GJ;M;10;J;VL;S;1.10M;3;5;6;5;4;5;6;1;1;6;2;2;5;2;5;6;1;1;4;6;4;1;6;2;4;5;;;;;;;;;5;6;6;6;5;5;6;3;;0.01M
PH243832;;0.04M;0.02M;DExtremistNeg;GJ;M;10;J;R;S;0.03M;2;5;4;5;1;5;6;6;2;4;1;4;4;2;6;5;4;1;4;4;5;2;5;2;5;5;;;;;;;;;4;5;6;5;5;4;6;1;;0.01M
PH244236;;0.05M;0.02M;ANatPridePro;GJ;F;10;J;DK;S;0.08M;6;6;1;1;1;5;6;1;5;6;2;5;1;6;6;1;1;1;4;4;1;1;6;1;4;1;;;;;;;;;6;5;5;4;2;1;5;2;;0.04M
PH244330;;0.02M;0.03M;FRealisticNeg;GJ;F;10;J;C;S;1.08M;5;6;6;1;1;6;6;2;1;6;1;3;6;5;6;6;4;1;5;6;4;1;5;1;3;6;;;;;;;;;5;6;6;5;6;4;6;1;;0.04M
PH24503;;0.02M;0.22M;CRealisticPro;GJ;M;10;J;DK;S;0.02M;6;1;6;1;1;6;4;1;1;4;1;1;6;1;1;6;1;1;6;6;1;1;4;1;3;6;;;;;;;;;4;1;1;1;4;1;4;4;;0.03M
PH245669;;0.01M;0.02M;BReligousPro;GJ;F;10;J;VR;S;0.06M;4;6;2;4;2;4;4;4;2;3;3;4;2;3;6;4;4;2;4;4;5;3;2;2;5;5;;;;;;;;;5;3;3;4;4;4;3;3;;0.02M
PH246415;;0.01M;0.02M;ANatPridePro;GJ;M;10;J;R;S;0.01M;1;2;5;3;1;4;4;4;4;4;1;2;5;1;1;6;3;2;5;5;3;2;4;1;2;4;;;;;;;;;6;5;6;5;4;3;5;2;;0.01M
PH246799;;0.13M;0.06M;BReligousPro;GJR;F;10;J;VR;R;0.82M;6;2;5;2;4;5;4;5;4;1;3;5;6;5;6;3;3;6;4;4;4;6;4;4;5;3;;;;;;;;;5;6;6;5;4;4;5;3;;0.01M
PH246943;;;0.02M;FRealisticNeg;GJ;M;10;J;DK;S;0.02M;;;;;;;;;;;;;;1;2;4;3;3;5;4;4;4;5;4;5;6;;;;;;;;;2;4;3;4;1;2;2;5;;0.01M
PH247209;;0.02M;0.02M;BReligousPro;GJ;F;10;J;DK;S;0.04M;3;2;3;4;2;5;4;4;2;5;2;5;4;4;4;3;4;1;5;5;6;2;6;3;4;5;;;;;;;;;4;5;5;5;4;4;5;3;;0.03M
PH248703;;0.01M;0.01M;FRealisticNeg;GJ;M;10;J;VL;S;0.14M;1;1;6;3;2;6;5;4;2;2;1;2;6;1;1;6;2;1;6;5;4;2;4;1;2;6;;;;;;;;;6;6;5;6;4;2;6;1;;0.01M
PH248869;;0.02M;0.02M;EReligousNeg;GJ;F;10;J;VL;S;0.02M;1;2;5;5;1;6;6;6;2;6;1;2;5;1;1;5;6;1;6;6;6;3;6;1;3;6;;;;;;;;;5;5;5;5;6;4;6;2;;0.01M